sku,variant_name,color,swatch_width,swatch_length,width_real_size,length_real_size,top_down_image_url,product_url,product_name,product_status,application_method,cart_url,surface_applicability,category,collection,wallpaper_type,variant_id,product_id,variant_price,variant_inventory_quantity
KI-21-AK-V02-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/musical-animals-cherry-blossom-parade-kids-wallpaper-view-15-mural-inequal.jpg?v=1735192125,https://www.themuralstory.com/products/joyful-animal-parade-playful-music-themed-wallpaper-for-kids-rooms,Joyful Animal Parade Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/joyful-animal-parade-playful-music-themed-wallpaper-for-kids-rooms,kidstoom,Wallpaper,"[""Kids""]",Mural,50612376469672,8597421883560,149,200000
KI-21-AK-V03-PPL-SMO,Purple / Smooth,Purple,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/musical-animals-cherry-blossom-parade-kids-wallpaper-view-20-mural-inequal.jpg?v=1735192125,https://www.themuralstory.com/products/joyful-animal-parade-playful-music-themed-wallpaper-for-kids-rooms,Joyful Animal Parade Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/joyful-animal-parade-playful-music-themed-wallpaper-for-kids-rooms,kidstoom,Wallpaper,"[""Kids""]",Mural,50612376633512,8597421883560,149,200000
HC-26-JK-V01-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-fruit-scattered-kitchen-motif-hotels_and_cafes-wallpaper-view-6-mural-inequal.jpg?v=1733919192,https://www.themuralstory.com/products/playful-fruit-fiesta-wallpaper,Juicy Fruit Fiesta Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/playful-fruit-fiesta-wallpaper,"bedroom, commercial spaces, dining room, foyer, kitchen, living room",Wallpaper,"[""Hotels and Cafes"",""Patterns""]",Mural,50612439351464,8684237717672,149,200000
HC-26-JK-V02-YEL-SMO,Yellow / Smooth,Yellow,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-fruit-scattered-kitchen-motif-hotels_and_cafes-wallpaper-view-9-mural-inequal.jpg?v=1733919192,https://www.themuralstory.com/products/playful-fruit-fiesta-wallpaper,Juicy Fruit Fiesta Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/playful-fruit-fiesta-wallpaper,"bedroom, commercial spaces, dining room, foyer, kitchen, living room",Wallpaper,"[""Hotels and Cafes"",""Patterns""]",Mural,50612439515304,8684237717672,149,200000
KI-01-JK-V01-GRN-SMO,Green / Smooth,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-giraffe-nursery-safari-kids-wallpaper-view-6-mural-inequal.jpg?v=1735193085,https://www.themuralstory.com/products/safari-adventure-wallpaper-for-kids-rooms,Jungle life: Safari Adventure Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/safari-adventure-wallpaper-for-kids-rooms,kidstoom,Wallpaper,"[""Kids"",""Fauna"",""Tropical"",""Designer's Choice""]",Mural,50612460880040,8685751140520,149,200000
KI-01-JK-V02-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-giraffe-nursery-safari-kids-wallpaper-view-10-mural-inequal.jpg?v=1735193085,https://www.themuralstory.com/products/safari-adventure-wallpaper-for-kids-rooms,Jungle life: Safari Adventure Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/safari-adventure-wallpaper-for-kids-rooms,kidstoom,Wallpaper,"[""Kids"",""Fauna"",""Tropical"",""Designer's Choice""]",Mural,50612461043880,8685751140520,149,200000
KI-01-JK-V03-BLU-SMO,Blue / Smooth,Blue,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-giraffe-nursery-safari-kids-wallpaper-view-14-mural-inequal.jpg?v=1735193085,https://www.themuralstory.com/products/safari-adventure-wallpaper-for-kids-rooms,Jungle life: Safari Adventure Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/safari-adventure-wallpaper-for-kids-rooms,kidstoom,Wallpaper,"[""Kids"",""Fauna"",""Tropical"",""Designer's Choice""]",Mural,50612461207720,8685751140520,149,200000
KI-01-JK-V04-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-giraffe-nursery-safari-kids-wallpaper-view-17-mural-inequal.jpg?v=1735193085,https://www.themuralstory.com/products/safari-adventure-wallpaper-for-kids-rooms,Jungle life: Safari Adventure Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/safari-adventure-wallpaper-for-kids-rooms,kidstoom,Wallpaper,"[""Kids"",""Fauna"",""Tropical"",""Designer's Choice""]",Mural,50612461371560,8685751140520,149,200000
TRP-14-AB-V01-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-tigers-palms-safari-tropical-wallpaper-view-6-mural-inequal.jpg?v=1733999132,https://www.themuralstory.com/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,Jungle Safari Wallpaper with Majestic Wildlife,active,Paste,https://www.themuralstory.com/collections/all-products/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,"bedroom, hobby room, kitchen, living room",Wallpaper,"[""Tropical"",""Fauna"",""Designer's Choice""]",Mural,50612334264488,8685971865768,149,200000
TRP-14-AB-V02-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-tigers-palms-safari-tropical-wallpaper-view-9-mural-inequal.jpg?v=1733999132,https://www.themuralstory.com/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,Jungle Safari Wallpaper with Majestic Wildlife,active,Paste,https://www.themuralstory.com/collections/all-products/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,"bedroom, hobby room, kitchen, living room",Wallpaper,"[""Tropical"",""Fauna"",""Designer's Choice""]",Mural,50612334428328,8685971865768,149,200000
TRP-14-AB-V03-GRN-SMO,Green / Smooth,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-tigers-palms-safari-tropical-wallpaper-view-13-mural-inequal.jpg?v=1733999132,https://www.themuralstory.com/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,Jungle Safari Wallpaper with Majestic Wildlife,active,Paste,https://www.themuralstory.com/collections/all-products/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,"bedroom, hobby room, kitchen, living room",Wallpaper,"[""Tropical"",""Fauna"",""Designer's Choice""]",Mural,50612334592168,8685971865768,149,200000
TRP-14-AB-V04-PCH-SMO,Peach / Smooth,Peach,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-tigers-palms-safari-tropical-wallpaper-view-17-mural-inequal.jpg?v=1733999132,https://www.themuralstory.com/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,Jungle Safari Wallpaper with Majestic Wildlife,active,Paste,https://www.themuralstory.com/collections/all-products/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,"bedroom, hobby room, kitchen, living room",Wallpaper,"[""Tropical"",""Fauna"",""Designer's Choice""]",Mural,50612334756008,8685971865768,149,200000
TRP-14-AB-V05-PPL-SMO,Purple / Smooth,Purple,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-tigers-palms-safari-tropical-wallpaper-view-21-mural-inequal.jpg?v=1733999132,https://www.themuralstory.com/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,Jungle Safari Wallpaper with Majestic Wildlife,active,Paste,https://www.themuralstory.com/collections/all-products/products/exotic-jungle-safari-wallpaper-with-majestic-wildlife,"bedroom, hobby room, kitchen, living room",Wallpaper,"[""Tropical"",""Fauna"",""Designer's Choice""]",Mural,50612334919848,8685971865768,149,200000
3D-36-SV-V01-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/pichwai-lotus-panels-3d-wallpaper-view-7-mural-inequal.jpg?v=1736488336,https://www.themuralstory.com/products/3d-pichwai-inspired-wallpaper-lotus-and-cows-for-a-divine-look,Kamal: Divine Lotus Harmony 3D Pichwai Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/3d-pichwai-inspired-wallpaper-lotus-and-cows-for-a-divine-look,"bedroom, commercial spaces, dining room, foyer, kitchen, living room",Wallpaper,"[""3D"",""Pichwai"",""Religion"",""Designer's Choice""]",Mural,50618860830888,8648768913576,149,200000
3D-36-SV-V02-GRN-SMO,Green / Smooth,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/pichwai-lotus-panels-3d-wallpaper-view-11-mural-inequal.jpg?v=1736488336,https://www.themuralstory.com/products/3d-pichwai-inspired-wallpaper-lotus-and-cows-for-a-divine-look,Kamal: Divine Lotus Harmony 3D Pichwai Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/3d-pichwai-inspired-wallpaper-lotus-and-cows-for-a-divine-look,"bedroom, commercial spaces, dining room, foyer, kitchen, living room",Wallpaper,"[""3D"",""Pichwai"",""Religion"",""Designer's Choice""]",Mural,50618861027496,8648768913576,149,199912
3D-36-SV-V03-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/pichwai-lotus-panels-3d-wallpaper-view-17-mural-inequal.jpg?v=1736488336,https://www.themuralstory.com/products/3d-pichwai-inspired-wallpaper-lotus-and-cows-for-a-divine-look,Kamal: Divine Lotus Harmony 3D Pichwai Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/3d-pichwai-inspired-wallpaper-lotus-and-cows-for-a-divine-look,"bedroom, commercial spaces, dining room, foyer, kitchen, living room",Wallpaper,"[""3D"",""Pichwai"",""Religion"",""Designer's Choice""]",Mural,50618861191336,8648768913576,149,200000
3D-36-SV-V04-GRY-SMO,Grey / Smooth,Grey,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/pichwai-lotus-panels-3d-wallpaper-view-22-mural-inequal.jpg?v=1736488336,https://www.themuralstory.com/products/3d-pichwai-inspired-wallpaper-lotus-and-cows-for-a-divine-look,Kamal: Divine Lotus Harmony 3D Pichwai Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/3d-pichwai-inspired-wallpaper-lotus-and-cows-for-a-divine-look,"bedroom, commercial spaces, dining room, foyer, kitchen, living room",Wallpaper,"[""3D"",""Pichwai"",""Religion"",""Designer's Choice""]",Mural,50618861355176,8648768913576,149,200000
