sku,variant_name,color,swatch_width,swatch_length,width_real_size,length_real_size,top_down_image_url,product_url,product_name,product_status,application_method,cart_url,surface_applicability,category,collection,wallpaper_type,product_id,variant_id,variant_price,variant_inventory_quantity
FL-01-AA-V03-PPL-SMO,Purple / Smooth,Purple,20,20,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-palm-bird-paradise-leaves-flora-wallpaper-view-20-repeat-original.jpg?v=1734084629,https://www.themuralstory.com/collections/designers-choice/products/tropical-paradise-flora-wallpaper,Lush Tropics: Vibrant Leaf and Flower Design Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/tropical-paradise-flora-wallpaper,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Flora, Tropical",Repeat,8628892139688,50612384039080,149,200000
FL-01-AA-V04-PNK-SMO,Pink / Smooth,Pink,20,20,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-palm-bird-paradise-leaves-flora-wallpaper-view-26-repeat-original.jpg?v=1733992747,https://www.themuralstory.com/collections/designers-choice/products/tropical-paradise-flora-wallpaper,Lush Tropics: Vibrant Leaf and Flower Design Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/tropical-paradise-flora-wallpaper,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Flora, Tropical",Repeat,8628892139688,50612384202920,149,200000
3d-01-SV-V02-GRN-SMO,Green / Smooth,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/classic-panel-molding-sage-3d-wallpaper-view-7-mural-inequal_47446f11-18de-4605-9a42-f8d995672979.jpg?v=1735288821,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,Luxurious 3D Panels,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"3D, European",Mural,8608233488552,50612297007272,149,200000
3d-01-SV-V01-CRM-SMO,Cream / Smooth,Cream,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/classic-panel-molding-sage-3d-wallpaper-view-10-mural-inequal_32fb4991-dad9-4478-8bd4-cb48adc01ae4.jpg?v=1735288821,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,Luxurious 3D Panels,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"3D, European",Mural,8608233488552,50612296876200,149,200000
3d-01-SV-V03-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/classic-panel-molding-sage-3d-wallpaper-view-15-mural-inequal_f0d21a1a-cb25-435e-96c5-a2a0e7ba3dba.jpg?v=1735288821,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,Luxurious 3D Panels,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"3D, European",Mural,8608233488552,50612297138344,149,200000
3d-01-SV-V04-PPL-SMO,Purple / Smooth,Purple,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/classic-panel-molding-sage-3d-wallpaper-view-19-mural-inequal_22bf69fa-e3bd-4770-a332-84666f884945.jpg?v=1735288821,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,Luxurious 3D Panels,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"3D, European",Mural,8608233488552,50612297269416,149,200000
3d-01-SV-V05-BLU-SMO,Blue / Smooth,Blue,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/classic-panel-molding-sage-3d-wallpaper-view-24-mural-inequal_35fbb7b3-09b3-4715-afe8-03ae9a495a83.jpg?v=1735288821,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,Luxurious 3D Panels,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/elegant-depth-3d-panel-design-wallpaper-for-a-luxurious-touch,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"3D, European",Mural,8608233488552,50612297400488,149,200000
TRP-11-SV-V01-BLU-SMO,Blue / Smooth,Blue,25.8,97.11,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/blue-birds-floral-damask-motif-tropical-wallpaper-view-8-repeat-original.jpg?v=1735134565,https://www.themuralstory.com/collections/designers-choice/products/serenade-of-the-tropics-exotic-bird-and-bloom-wallpaper,Macaw Melody: Exotic Bird and Bloom Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/serenade-of-the-tropics-exotic-bird-and-bloom-wallpaper,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Tropical, Flora, Fauna",Repeat,8611188834472,50612463304872,149,200000
TRP-11-SV-V02-GRN-SMO,Green / Smooth,Green,25.8,97.11,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/blue-birds-floral-damask-motif-tropical-wallpaper-view-14-repeat-original.jpg?v=1735134565,https://www.themuralstory.com/collections/designers-choice/products/serenade-of-the-tropics-exotic-bird-and-bloom-wallpaper,Macaw Melody: Exotic Bird and Bloom Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/serenade-of-the-tropics-exotic-bird-and-bloom-wallpaper,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Tropical, Flora, Fauna",Repeat,8611188834472,50612463468712,149,200000
TRP-11-SV-V03-RED-SMO,Red / Smooth,Red,25.8,97.11,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/blue-birds-floral-damask-motif-tropical-wallpaper-view-21-repeat-original.jpg?v=1735134565,https://www.themuralstory.com/collections/designers-choice/products/serenade-of-the-tropics-exotic-bird-and-bloom-wallpaper,Macaw Melody: Exotic Bird and Bloom Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/serenade-of-the-tropics-exotic-bird-and-bloom-wallpaper,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Tropical, Flora, Fauna",Repeat,8611188834472,50612463632552,149,200000
TRP-11-SV-V04-YEL-SMO,Yellow / Smooth,Yellow,25.8,97.11,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/blue-birds-floral-damask-motif-tropical-wallpaper-view-27-repeat-original.jpg?v=1735134565,https://www.themuralstory.com/collections/designers-choice/products/serenade-of-the-tropics-exotic-bird-and-bloom-wallpaper,Macaw Melody: Exotic Bird and Bloom Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/serenade-of-the-tropics-exotic-bird-and-bloom-wallpaper,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Tropical, Flora, Fauna",Repeat,8611188834472,50612463796392,149,200000
RE-63-SV-V01-BLU-SMO,Blue / Smooth,Blue,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/peacock-feather-pastoral-indian-motif-religion-wallpaper-view-6-mural-inequal.jpg?v=1735144014,https://www.themuralstory.com/collections/designers-choice/products/graceful-krishna-motif-wallpaper-divine-pastoral-harmony,Madhav – Divine Krishna Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/graceful-krishna-motif-wallpaper-divine-pastoral-harmony,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Religion, Pichwai, Designer's Choice",Mural,8721472815272,50612361035944,149,200000
RE-63-SV-V02-GRN-CAN,Green / Canvas Textured,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/peacock-feather-pastoral-indian-motif-religion-wallpaper-view-10-mural-inequal.jpg?v=1735144014,https://www.themuralstory.com/collections/designers-choice/products/graceful-krishna-motif-wallpaper-divine-pastoral-harmony,Madhav – Divine Krishna Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/graceful-krishna-motif-wallpaper-divine-pastoral-harmony,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Religion, Pichwai, Designer's Choice",Mural,8721472815272,50612361167016,149,200000
RE-63-SV-V03-YEL-LEA,Yellow / Leather,Yellow,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/peacock-feather-pastoral-indian-motif-religion-wallpaper-view-14-mural-inequal.jpg?v=1735144014,https://www.themuralstory.com/collections/designers-choice/products/graceful-krishna-motif-wallpaper-divine-pastoral-harmony,Madhav – Divine Krishna Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/graceful-krishna-motif-wallpaper-divine-pastoral-harmony,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Religion, Pichwai, Designer's Choice",Mural,8721472815272,50612361232552,149,200000
KI-44-AK-V01-BLK-SMO,Black / Smooth,Black,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/arctic-night-polar-mountains-moon-kids-wallpaper-view-7-mural-inequal.jpg?v=1733134364,https://www.themuralstory.com/collections/designers-choice/products/magical-moonlit-arctic-wallpaper,Magical Moonlit Arctic Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/magical-moonlit-arctic-wallpaper,kids room,Wallpaper,"Kids, Marine and Ocean, Peace and Serenity",Mural,8697601032360,50612387905704,149,200000
DA-01-SK-V01-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/indian-royal-arch-damask-motif-mughal-wallpaper-view-7-mural-inequal.jpg?v=1733992565,https://www.themuralstory.com/collections/designers-choice/products/maharaja-s-court-wallpaper-vintage-charm-with-royal-flair,Maharaja’s Courtyard Vintage Charm Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/maharaja-s-court-wallpaper-vintage-charm-with-royal-flair,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"Mughal, Royal, Motifs, Flora",Mural,8610710192296,50612389478568,149,200000
DA-01-SK-V02-LAV-SMO,Lavendar / Smooth,Lavendar,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/indian-royal-arch-damask-motif-mughal-wallpaper-view-11-mural-inequal.jpg?v=1733992565,https://www.themuralstory.com/collections/designers-choice/products/maharaja-s-court-wallpaper-vintage-charm-with-royal-flair,Maharaja’s Courtyard Vintage Charm Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/maharaja-s-court-wallpaper-vintage-charm-with-royal-flair,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"Mughal, Royal, Motifs, Flora",Mural,8610710192296,50612389642408,149,200000
